GeoID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
101,71.9,60.8,76.6,45.7,25.5,21.4,18.1,9.8,9.0,10.2,9.5,9.0,6.3,6.9,8.0,7.3,4.8
102,121.6,103.5,89.5,57.3,36.5,34.7,26.4,19.7,18.6,18.6,16.2,14.3,12.1,12.4,9.5,13.0,12.2
103,130.5,109.7,97.0,69.5,46.5,45.1,32.5,27.0,24.2,22.2,17.4,17.5,16.2,13.4,12.6,10.7,11.7
104,113.2,108.2,84.6,54.9,37.4,32.8,27.6,16.1,17.2,17.8,18.5,16.9,11.9,10.9,10.6,8.2,9.7
105,135.5,111.9,90.5,61.4,40.3,36.5,28.4,22.8,19.0,17.5,15.1,13.4,14.5,11.0,9.1,9.5,10.4
106,138.6,119.0,95.3,64.8,40.6,42.0,30.4,22.8,23.8,19.3,15.5,15.1,11.3,10.8,9.9,8.9,9.2
107,144.5,105.0,86.4,58.5,33.9,35.0,26.6,18.0,20.1,19.0,11.7,12.1,13.2,9.4,8.1,8.0,8.3
201,171.1,169.3,182.8,138.2,121.1,101.5,104.9,80.9,73.6,56.1,51.0,51.9,45.4,40.7,28.1,34.5,25.8
202,127.4,117.2,105.1,67.3,50.5,43.5,37.5,28.4,21.9,19.5,17.2,18.0,12.7,13.2,7.4,9.8,10.2
203,156.8,162.3,139.5,81.0,52.5,50.0,45.1,32.1,24.9,26.9,20.2,19.9,16.3,14.5,12.0,15.4,16.0
204,163.8,153.8,128.9,68.5,45.0,38.8,38.2,26.4,23.0,21.6,18.8,16.3,13.5,12.7,9.7,11.2,9.8
205,126.3,117.6,98.3,66.8,55.4,40.4,35.7,24.7,20.3,17.5,14.5,12.1,10.5,8.9,7.7,9.1,9.2
206,127.9,139.9,130.2,96.8,85.3,73.0,62.4,52.6,45.8,41.1,34.8,35.0,32.5,32.5,22.9,23.2,18.5
207,150.0,153.0,135.7,79.1,56.9,54.0,46.1,33.6,30.2,25.0,23.0,22.1,17.9,20.6,15.5,11.6,13.5
208,94.9,94.2,86.0,52.7,36.1,32.8,24.2,17.4,16.4,13.3,11.7,12.8,11.7,11.0,6.2,6.1,7.5
209,84.3,85.2,70.2,50.7,42.3,40.1,34.2,23.5,22.7,22.8,18.9,17.2,17.6,15.5,12.6,13.9,12.8
210,115.7,101.4,95.3,63.7,62.0,49.5,41.1,35.6,30.2,24.6,20.0,22.2,18.1,18.9,14.8,12.9,13.2
211,178.3,158.5,125.8,79.4,64.5,57.7,44.0,37.2,29.7,27.3,21.7,21.2,21.8,16.6,13.4,14.5,15.2
301,101.6,99.8,85.2,56.0,31.5,27.1,24.1,16.9,16.4,15.1,11.5,8.9,9.0,9.0,6.8,8.0,8.6
302,146.2,124.0,98.9,68.8,46.6,39.6,30.3,15.4,20.4,16.0,12.7,13.4,8.8,11.3,9.4,8.0,7.8
303,161.8,154.2,111.5,58.9,35.1,32.4,26.2,15.1,15.2,17.5,12.8,7.9,8.4,6.3,7.4,6.0,3.6
304,78.2,76.6,72.8,49.3,32.9,17.6,13.9,14.1,12.6,11.9,10.2,6.6,6.8,7.3,7.0,5.9,7.3
305,53.4,53.8,50.6,27.3,25.6,9.6,13.1,10.7,8.4,8.4,6.7,3.6,3.6,4.5,1.9,4.4,5.3
306,104.9,84.5,88.2,62.0,41.3,21.6,19.0,17.4,20.9,14.4,6.7,7.8,15.2,7.7,5.3,4.4,2.7
307,85.7,78.9,79.2,41.0,34.6,23.5,16.1,13.3,14.1,7.4,8.1,3.4,6.5,6.6,3.2,1.6,2.3
308,150.5,129.9,121.1,78.4,55.6,42.8,29.6,21.4,24.6,28.1,19.2,10.6,6.5,9.0,3.3,6.4,5.5
309,130.5,110.6,106.1,63.7,44.4,34.8,26.1,17.9,13.9,15.1,10.8,8.7,7.5,5.0,5.0,3.9,6.9
310,111.5,80.5,79.2,40.9,27.9,25.2,12.3,10.6,6.9,6.5,5.2,3.1,3.3,1.4,0.6,1.5,1.7
401,108.2,97.8,89.9,56.6,42.0,40.0,27.1,23.4,20.3,20.2,16.9,13.9,12.3,10.4,8.5,8.0,8.2
402,117.5,110.1,84.3,62.6,44.4,42.8,32.6,22.6,20.1,21.1,16.5,16.1,13.5,13.2,10.3,11.5,12.6
403,67.9,64.6,57.6,39.0,29.3,28.7,18.1,13.5,12.8,13.5,11.5,7.7,7.3,6.1,4.7,6.2,4.9
404,53.3,41.9,43.5,29.8,28.6,24.0,13.2,5.0,5.9,4.2,4.6,5.8,3.5,5.3,2.9,4.5,4.6
405,94.8,81.0,80.4,53.7,42.1,40.8,29.6,20.5,16.1,17.6,15.5,13.7,11.5,11.3,7.1,10.4,8.7
406,60.1,63.4,61.6,40.4,34.2,24.0,16.8,13.6,14.7,10.8,10.5,7.7,9.5,8.7,6.2,8.5,5.5
407,116.9,100.3,91.8,55.6,42.5,39.1,31.4,23.2,20.9,21.6,19.4,19.7,15.3,12.6,13.3,13.5,14.3
408,108.2,93.0,83.2,54.4,41.2,40.5,32.2,24.3,21.5,20.9,17.7,17.1,15.6,14.6,12.2,11.4,11.1
409,98.7,87.7,77.6,55.0,43.6,37.3,30.2,19.3,15.7,16.0,14.0,13.1,13.9,14.9,12.2,14.5,11.7
410,106.3,92.5,70.2,45.9,32.2,37.6,23.7,17.1,17.0,18.0,9.9,10.8,11.7,8.2,9.9,9.8,8.8
501,106.5,89.3,99.5,66.6,47.6,40.8,31.6,29.2,32.1,33.0,19.3,22.6,20.4,19.0,11.3,18.4,13.7
502,98.2,85.8,82.9,51.9,43.5,29.3,26.4,20.1,21.2,20.8,17.4,19.0,14.9,16.8,11.5,11.3,13.5
503,44.6,39.3,33.5,20.9,25.1,14.1,14.6,11.2,9.5,7.1,4.0,8.8,9.2,9.2,5.9,6.6,5.9
504,33.3,35.3,35.2,14.7,18.0,12.4,8.6,5.9,6.6,6.3,5.3,7.6,4.4,3.5,3.6,4.3,3.2
